FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
521848.txt,https://www.southbankmosaics.com,0.09090909090909091,www.southbankmosaics.com,0.2857142857142857,0.0,com,1.0,1.0,1.0,0.7935387398503632,0.25,0.2,0.0,0.0,0.0,0.16822429906542055,0.6974789915966387,0.0,0.0,0.0,0.0,0.0,0.0,0.06145251396648044,1.0,0.025054073540014418,0.035095023235403325,1.0,à¸‚à¹ˆà¸²à¸§à¸ªà¸” à¸‚à¹ˆà¸²à¸§à¸§à¸±à¸™à¸™à¸µà¹‰ à¸‚à¹ˆà¸²à¸§à¸à¸µà¸¬à¸² à¸‚à¹ˆà¸²à¸§à¸šà¸±à¸™à¹€à¸—à¸´à¸‡ à¸­à¸±à¸žà¹€à¸”à¸—à¸ªà¸”à¹ƒà¸«à¸¡à¹ˆà¸—à¸¸à¸à¸§à¸±à¸™ &#8211; à¸‚à¹ˆà¸²à¸§à¸ªà¸” à¸‚à¹ˆà¸²à¸§à¸à¸µà¸¬à¸² à¸‚à¹ˆà¸²à¸§à¸šà¸±à¸™à¹€à¸—à¸´à¸‡ à¸‚à¹ˆà¸²à¸§à¸§à¸±à¸™à¸™à¸µà¹‰ à¸­à¸±à¸›à¹€à¸”à¸•à¸‚à¹ˆà¸²à¸§à¸ªà¸²à¸£à¸£à¸§à¸”à¹€à¸£à¹‡à¸§à¸—à¸±à¸™à¹ƒà¸ˆ à¸žà¸£à¹‰à¸­à¸¡à¸£à¸±à¸šà¸Šà¸¡à¸ªà¸²à¸£à¸°à¸™à¹ˆà¸²à¸£à¸¹à¹‰à¸•à¹ˆà¸²à¸‡à¹† à¹„à¸”à¹‰à¸Ÿà¸£à¸µà¸•à¸¥à¸­à¸” 24à¸Šà¸±à¹ˆà¸§à¹‚à¸¡à¸‡,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0776255707762557,0.2898550724637681,0.07799442896935933,0.1171259842519685,0.0,0.12216748768472906,benign
31372.txt,https://www.uni-mainz.de,0.04545454545454544,www.uni-mainz.de,0.17142857142857143,0.0,de,1.0,0.575757576336088,0.06243996304506098,0.6402685699795571,0.0,0.2,0.0,0.0,0.0,0.08411214953271028,0.4693877551020409,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.36871508379888257,1.0,0.0277577505407354,0.035095023235403325,1.0,johannes gutenberg-universitÃ¤t mainz,0.5555555556,0.5555555556,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1141552511415525,0.13043478260869565,0.022284122562674095,0.038385826771653545,0.0,0.21379310344827585,benign
597387.txt,https://www.voicefmradio.co.uk,0.07954545454545453,www.voicefmradio.co.uk,0.2571428571428571,0.0,uk,1.0,0.8303030307889807,0.0546081703614275,0.8222366714942253,0.0,0.4,0.0,0.0,0.0,0.14018691588785046,0.6206482593037216,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.2681564245810056,1.0,0.020953496755587598,0.002467941144479576,1.0,voice fm southampton,0.4666666667,0.4666666667,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0228310502283105,0.028985507246376812,0.019498607242339833,0.04133858267716535,0.023809523809523808,0.004926108374384236,benign
554095.txt,https://www.sfnmjournal.com,0.0625,www.sfnmjournal.com,0.21428571428571427,0.0,com,1.0,1.0,1.0,0.7369749637933108,0.25,0.2,0.0,0.0,0.0,0.12149532710280372,0.6002400960384154,0.0,0.0,0.0,0.0,0.0,0.0,0.0949720670391061,1.0,0.2863193943763518,0.10051796758670613,1.0,home page: seminars in fetal and neonatal medicine ,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.03571428571428571,0.1643835616438356,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.00684931506849315,0.391304347826087,0.04178272980501393,0.021653543307086614,0.011904761904761904,0.030541871921182264,benign
151578.txt,https://www.rewildingargentina.org,0.10227272727272727,www.rewildingargentina.org,0.3142857142857143,0.0,org,1.0,1.0,0.15291970600513935,0.7609685354720986,0.25,0.2,0.0,0.0,0.0,0.18691588785046728,0.7274909963985595,0.0,0.0,0.0,0.0,0.0,0.0,0.05027932960893852,1.0,0.2742880317231434,0.10644402686980298,1.0,fundaciÃ³n rewilding argentina,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0273972602739726,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5570776255707762,0.21739130434782608,0.0947075208913649,0.07086614173228346,0.011904761904761904,0.08374384236453201,benign
23107.txt,https://www.globalreporting.org,0.08522727272727273,www.globalreporting.org,0.2714285714285714,0.0,org,1.0,1.0,0.15291970600513935,0.7763019376460686,0.25,0.2,0.0,0.0,0.0,0.1588785046728972,0.680672268907563,0.0,0.0,0.0,0.0,0.0,0.0,0.06703910614525138,1.0,0.054434030281182405,0.0026742280182582637,1.0,gri - home,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03571428571428571,0.0136986301369863,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.07990867579908675,0.014492753623188406,0.03064066852367688,0.08464566929133858,0.0,0.013793103448275862,benign
23034.txt,https://www.saffronart.com,0.05681818181818182,www.saffronart.com,0.19999999999999998,0.0,com,1.0,1.0,1.0,0.8146644280388785,0.25,0.2,0.0,0.0,0.0,0.11214953271028036,0.5762304921968788,0.0,0.0,0.0,0.0,0.0,0.0,0.10614525139664802,1.0,0.046052631578947366,0.00360064361504619,1.0,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.07142857142857142,0.0547945205479452,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0730593607305936,0.057971014492753624,0.03899721448467967,0.04330708661417323,0.023809523809523808,0.016748768472906402,benign
696732.txt,https://www.nerdscandy.com,0.05681818181818182,www.nerdscandy.com,0.19999999999999998,0.0,com,1.0,1.0,1.0,0.7746174246979292,0.25,0.2,0.0,0.0,0.0,0.11214953271028036,0.5762304921968788,0.0,0.0,0.0,0.0,0.0,0.0,0.10614525139664802,1.0,0.023071377072819033,0.0014065014121274178,1.0,nerds candy,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0136986301369863,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0547945205479452,0.028985507246376812,0.06128133704735376,0.03543307086614173,0.0,0.014778325123152709,benign
739255.txt,https://www.hyderabadonline.in,0.07954545454545453,www.hyderabadonline.in,0.2571428571428571,0.0,in,1.0,1.0,0.009722950788008042,0.7288014801608258,0.0,0.2,0.0,0.0,0.0,0.14953271028037382,0.6626650660264107,0.0,0.0,0.0,0.0,0.0,0.0,0.07262569832402233,1.0,0.10675018024513339,0.048342391202427434,1.0,"hyderabadonline - business listing in hyderabad, hyderabad news, the fort of golconda, travel guide",1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.16210045662100456,0.057971014492753624,0.025069637883008356,0.03937007874015748,0.011904761904761904,0.31231527093596056,benign
14486.txt,https://www.aap.org,0.017045454545454544,www.aap.org,0.1,0.0,org,1.0,1.0,0.15291970600513935,0.9054824247240711,0.25,0.2,0.0,0.0,0.0,0.04672897196261682,0.333733493397359,0.0,0.0,0.0,0.0,0.0,0.0,0.1955307262569832,1.0,0.12292718096611391,0.0017140563875792797,1.0,home,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0273972602739726,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0228310502283105,0.014492753623188406,0.033426183844011144,0.1702755905511811,0.07142857142857142,0.06403940886699507,benign
167350.txt,https://www.religionenlibertad.com,0.10227272727272727,www.religionenlibertad.com,0.3142857142857143,0.0,com,1.0,1.0,1.0,0.8198547680419109,0.25,0.2,0.0,0.0,0.0,0.18691588785046728,0.7274909963985595,0.0,0.0,0.0,0.0,0.0,0.0,0.05027932960893852,1.0,0.11779019466474405,0.0021003754421102775,1.0,religiÃ³n en libertad | noticias de religiÃ³n,0.5555555556,0.5555555556,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0684931506849315,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.182648401826484,0.18840579710144928,0.027855153203342618,0.3700787401574803,0.011904761904761904,0.008866995073891625,benign
mw42508.txt,http://www.teramill.com,0.039772727272727265,www.teramill.com,0.17142857142857143,0.0,com,0.8176700192114073,1.0,1.0,0.8652304810653394,0.25,0.2,0.0,0.0,0.0,0.09345794392523364,0.546218487394958,0.0,0.0,0.0,0.0,0.0,0.0,0.13407821229050276,0.0,0.0,0.00023629223723740619,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009852216748768472,benign
515489.txt,https://www.socialpolicy.org,0.06818181818181818,www.socialpolicy.org,0.22857142857142856,0.0,org,1.0,1.0,0.15291970600513935,0.8269737874026866,0.25,0.2,0.0,0.0,0.0,0.1308411214953271,0.6230492196878753,0.0,0.0,0.0,0.0,0.0,0.0,0.08938547486033516,1.0,0.04690879596250901,0.003799429147960198,1.0,social policy: organizing for social and economic justice,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,0.0136986301369863,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0365296803652968,0.13043478260869565,0.036211699164345405,0.09055118110236221,0.011904761904761904,0.01773399014778325,benign
858208.txt,https://www.aoh61.com,0.02840909090909091,www.aoh61.com,0.1285714285714286,0.0,com,1.0,1.0,1.0,0.7046296199474024,0.25,0.2,0.0,0.0,0.0,0.04672897196261682,0.3001200480192077,0.04,0.2,0.0,0.0,0.0,0.0,0.16201117318435754,1.0,0.2687454938716654,0.08385748952625283,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0684931506849315,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365296803652968,0.057971014492753624,0.019498607242339833,0.003937007874015748,0.0,0.013793103448275862,benign
712305.txt,https://www.bulgariaski.com,0.0625,www.bulgariaski.com,0.21428571428571427,0.0,com,1.0,1.0,1.0,0.7122564217857088,0.25,0.2,0.0,0.0,0.0,0.12149532710280372,0.6002400960384154,0.0,0.0,0.0,0.0,0.0,0.0,0.0949720670391061,1.0,0.11882660418168708,0.0058135391701266605,1.0,bulgaria ski - bulgarian ski resorts and holiday bookings.,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.14383561643835616,0.17391304347826086,0.06128133704735376,0.15354330708661418,0.023809523809523808,0.1812807881773399,benign
252332.txt,https://www.brightika.com,0.05113636363636362,www.brightika.com,0.18571428571428572,0.0,com,1.0,1.0,1.0,0.6866416008323618,0.25,0.2,0.0,0.0,0.0,0.102803738317757,0.5498199279711886,0.0,0.0,0.0,0.0,0.0,0.0,0.11731843575418993,1.0,0.24815248738284065,0.001972852647410725,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0273972602739726,0.2028985507246377,0.052924791086350974,0.001968503937007874,0.011904761904761904,0.013793103448275862,benign
862789.txt,https://www.motley.ie,0.02840909090909091,www.motley.ie,0.1285714285714286,0.0,ie,1.0,1.0,0.0030364858308483482,0.7840036755671511,0.0,0.2,0.0,0.0,0.0,0.06542056074766354,0.42016806722689076,0.0,0.0,0.0,0.0,0.0,0.0,0.16201117318435754,1.0,0.12783886085075702,0.03009162887866206,1.0,home | motley,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1278538812785388,0.14492753623188406,0.04456824512534819,0.2312992125984252,0.0,0.2502463054187192,benign
561324.txt,https://www.funzine.hu,0.03409090909090909,www.funzine.hu,0.14285714285714285,0.0,hu,1.0,1.0,0.004240141317645142,0.5449727861635549,0.0,0.2,0.0,0.0,0.0,0.07476635514018691,0.4573829531812726,0.0,0.0,0.0,0.0,0.0,0.0,0.1508379888268156,1.0,0.07092645998558039,0.007062512424095807,1.0,funzine,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0273972602739726,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.1187214611872146,0.14492753623188406,0.07520891364902507,0.0,0.011904761904761904,0.14088669950738916,benign
791831.txt,https://www.dixxon.com,0.03409090909090909,www.dixxon.com,0.14285714285714285,0.0,com,1.0,1.0,1.0,0.6962769589518099,0.25,0.2,0.0,0.0,0.0,0.07476635514018691,0.4573829531812726,0.0,0.0,0.0,0.0,0.0,0.0,0.1508379888268156,1.0,0.22539653929343909,0.05183426537493577,1.0,facebook,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2876712328767123,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.591324200913242,0.2028985507246377,0.09192200557103064,0.1653543307086614,0.011904761904761904,0.08866995073891625,benign
861208.txt,https://www.ooty.ind.in,0.039772727272727265,www.ooty.ind.in,0.15714285714285714,0.0,in,1.0,0.5227272729008265,0.009722950788008042,0.7807975667013486,0.0,0.4,0.0,0.0,0.0,0.07476635514018691,0.43697478991596644,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.39106145251396635,1.0,0.03230894015861572,0.006818718845993722,1.0,best places to visit in ooty tamil nadu ootacamund,0.8,0.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.04794520547945205,0.0,0.005571030640668524,0.001968503937007874,0.0,0.0009852216748768472,benign
