url_length,hostname_length,path_length,num_dots,num_hyphens,num_slashes,num_digits,num_special_chars,has_ip,has_https,num_subdomains,contains_phishing_words,label
32,24,0,2,0,2,0,0,0,1,1,1,benign
24,16,0,2,1,2,0,0,0,1,1,0,benign
30,22,0,3,0,2,0,0,0,1,2,0,benign
27,19,0,2,0,2,0,0,0,1,1,0,benign
34,26,0,2,0,2,0,0,0,1,1,0,benign
31,23,0,2,0,2,0,0,0,1,1,0,benign
26,18,0,2,0,2,0,0,0,1,1,0,benign
26,18,0,2,0,2,0,0,0,1,1,0,benign
30,22,0,2,0,2,0,0,0,1,1,0,benign
19,11,0,2,0,2,0,0,0,1,1,0,benign
34,26,0,2,0,2,0,0,0,1,1,0,benign
23,16,0,2,0,2,0,0,0,0,1,0,benign
28,20,0,2,0,2,0,0,0,1,1,0,benign
21,13,0,2,0,2,2,0,0,1,1,0,benign
27,19,0,2,0,2,0,0,0,1,1,0,benign
25,17,0,2,0,2,0,0,0,1,1,0,benign
21,13,0,2,0,2,0,0,0,1,1,0,benign
22,14,0,2,0,2,0,0,0,1,1,0,benign
22,14,0,2,0,2,0,0,0,1,1,0,benign
23,15,0,3,0,2,0,0,0,1,2,0,benign
27,20,0,3,0,2,7,0,0,0,2,0,phishing
24,17,0,2,0,2,0,0,0,0,1,0,phishing
29,21,0,2,0,2,0,0,0,1,1,0,benign
30,22,0,2,0,2,0,0,0,1,1,0,benign
34,26,0,4,0,2,0,0,0,1,3,0,benign
26,18,0,2,0,2,0,0,0,1,1,0,benign
37,29,0,2,0,2,0,0,0,1,1,0,benign
38,29,1,2,1,3,0,0,0,1,1,0,phishing
33,26,0,3,1,2,2,0,0,0,2,0,phishing
27,18,1,2,1,3,4,0,0,1,1,0,phishing
22,14,0,2,0,2,0,0,0,1,1,0,benign
92,7,52,2,0,4,7,3,0,1,0,0,phishing
40,32,1,2,2,3,12,0,0,0,1,0,phishing
25,17,0,2,0,2,0,0,0,1,1,0,benign
35,26,1,2,0,3,2,0,0,1,1,0,phishing
24,16,0,3,0,2,0,0,0,1,2,0,benign
33,25,0,2,0,2,0,0,0,1,1,0,benign
20,13,0,2,0,2,0,0,0,0,1,0,phishing
20,12,0,2,0,2,0,0,0,1,1,0,benign
28,21,0,2,0,2,0,0,0,0,1,0,phishing
28,21,0,3,0,2,0,0,0,0,2,0,phishing
33,24,1,2,1,3,2,0,0,1,1,0,phishing
25,17,0,2,0,2,0,0,0,1,1,0,benign
30,22,0,2,0,2,0,0,0,1,1,0,benign
42,33,1,2,3,3,3,0,0,1,1,0,phishing
140,23,11,1,2,6,19,7,0,1,0,0,phishing
28,20,0,2,0,2,0,0,0,1,1,0,benign
28,20,0,3,0,2,0,0,0,1,2,0,benign
25,17,0,2,0,2,0,0,0,1,1,0,benign
23,16,0,2,0,2,0,0,0,0,1,0,benign
35,26,1,2,1,3,6,0,0,1,1,0,phishing
25,17,0,2,0,2,0,0,0,1,1,0,benign
32,23,1,1,0,3,0,0,0,1,0,0,phishing
26,18,0,2,0,2,0,0,0,1,1,0,benign
25,18,0,2,0,2,0,0,0,0,1,0,phishing
20,12,0,2,0,2,0,0,0,1,1,0,benign
27,19,0,2,0,2,0,0,0,1,1,0,benign
37,12,17,1,0,4,4,0,0,1,0,0,phishing
22,14,0,2,0,2,0,0,0,1,1,0,benign
31,22,1,2,1,3,1,0,0,1,1,0,phishing
31,24,0,2,0,2,0,0,0,0,1,0,phishing
36,28,0,3,0,2,0,0,0,1,2,0,benign
26,18,0,2,0,2,0,0,0,1,1,0,benign
18,10,0,2,0,2,0,0,0,1,1,0,benign
25,17,0,2,0,2,0,0,0,1,1,0,benign
26,18,0,2,0,2,0,0,0,1,1,0,benign
26,18,0,2,0,2,0,0,0,1,1,0,benign
21,13,0,2,0,2,0,0,0,1,1,0,benign
31,24,0,3,0,2,0,0,0,0,2,0,benign
24,17,0,2,0,2,0,0,0,0,1,0,benign
23,15,0,2,0,2,0,0,0,1,1,0,benign
21,14,0,2,0,2,0,0,0,0,1,0,benign
27,20,0,3,0,2,7,0,0,0,2,0,phishing
26,17,1,2,0,3,0,0,0,1,1,0,phishing
29,21,0,2,0,2,0,0,0,1,1,0,benign
35,27,0,2,0,2,0,0,0,1,1,0,benign
24,16,0,2,0,2,1,0,0,1,1,0,benign
92,16,68,3,0,5,39,1,0,1,1,0,phishing
35,27,0,2,0,2,0,0,0,1,1,0,benign
27,19,0,2,0,2,0,0,0,1,1,0,benign
37,28,1,2,0,3,1,0,0,1,1,0,phishing
27,19,0,2,0,2,0,0,0,1,1,0,benign
16,8,1,1,0,3,0,0,0,0,0,0,phishing
52,45,0,4,3,2,1,0,0,0,3,0,benign
28,20,0,2,0,2,0,0,0,1,1,0,benign
20,12,0,2,0,2,0,0,0,1,1,0,benign
32,24,0,2,0,2,0,0,0,1,1,0,benign
34,25,1,2,1,3,6,0,0,1,1,0,phishing
23,15,0,3,0,2,0,0,0,1,2,0,benign
20,12,0,2,0,2,0,0,0,1,1,0,benign
26,18,0,2,0,2,0,0,0,1,1,0,benign
64,25,12,2,0,4,16,4,0,0,1,0,phishing
55,47,0,3,4,2,18,0,0,1,2,0,phishing
25,17,0,2,0,2,0,0,0,1,1,0,benign
25,17,0,2,0,2,0,0,0,1,1,0,benign
29,21,0,2,0,2,0,0,0,1,1,0,benign
35,27,0,2,0,2,0,0,0,1,1,0,benign
28,20,0,3,1,2,0,0,0,1,2,0,benign
41,33,0,2,0,2,0,0,0,1,1,0,benign
29,21,0,2,0,2,0,0,0,1,1,0,benign
55,46,1,3,3,3,0,0,0,1,2,0,phishing
43,34,1,2,2,3,6,0,0,1,1,0,phishing
19,11,0,2,0,2,0,0,0,1,1,0,benign
27,20,0,3,0,2,7,0,0,0,2,0,phishing
46,37,1,2,0,3,19,0,0,1,1,0,phishing
31,23,0,2,0,2,0,0,0,1,1,0,benign
34,26,0,4,0,2,0,0,0,1,3,0,benign
26,18,0,2,0,2,0,0,0,1,1,0,benign
48,39,1,3,0,3,0,0,0,1,2,0,phishing
20,13,0,2,0,2,0,0,0,0,1,0,phishing
21,13,0,3,0,2,0,0,0,1,2,0,benign
25,17,0,3,0,2,0,0,0,1,2,0,benign
21,13,0,2,0,2,0,0,0,1,1,0,benign
35,27,0,2,0,2,0,0,0,1,1,0,benign
26,17,1,2,0,3,0,0,0,1,1,0,benign
29,21,0,2,0,2,0,0,0,1,1,0,benign
23,15,0,2,0,2,0,0,0,1,1,0,benign
27,19,0,2,0,2,0,0,0,1,1,0,benign
27,19,0,2,0,2,0,0,0,1,1,0,benign
32,24,0,2,2,2,0,0,0,1,1,0,benign
36,27,1,2,2,3,1,0,0,1,1,0,phishing
71,39,24,7,1,5,1,1,0,1,5,0,phishing
22,14,0,2,0,2,0,0,0,1,1,0,benign
48,41,0,2,0,2,17,0,0,0,1,0,phishing
31,23,0,2,0,2,0,0,0,1,1,0,benign
21,13,1,3,0,3,10,0,1,0,2,0,benign
89,7,74,1,0,5,9,1,0,1,0,0,phishing
31,23,0,2,0,2,0,0,0,1,1,0,benign
23,15,0,3,0,2,0,0,0,1,2,0,benign
22,15,0,2,0,2,0,0,0,0,1,0,benign
25,17,0,2,0,2,0,0,0,1,1,0,benign
21,13,0,2,0,2,2,0,0,1,1,0,benign
46,39,0,4,3,2,1,0,0,0,3,0,phishing
22,14,0,3,0,2,0,0,0,1,2,0,benign
31,23,0,2,0,2,0,0,0,1,1,0,benign
35,27,0,2,0,2,0,0,0,1,1,0,benign
21,13,0,2,0,2,0,0,0,1,1,0,benign
30,23,0,2,0,2,0,0,0,0,1,0,phishing
22,15,0,2,0,2,0,0,0,0,1,0,phishing
18,10,0,2,0,2,3,0,0,1,1,0,benign
24,16,0,2,0,2,0,0,0,1,1,0,benign
31,23,0,2,1,2,0,0,0,1,1,0,benign
47,39,0,2,0,2,0,0,0,1,1,0,benign
26,18,0,2,0,2,0,0,0,1,1,0,benign
35,26,1,2,0,3,2,0,0,1,1,0,phishing
36,28,0,2,0,2,0,0,0,1,1,0,benign
36,28,0,2,2,2,0,0,0,1,1,0,benign
45,28,10,3,2,3,0,0,0,0,1,0,phishing
31,23,0,2,0,2,0,0,0,1,1,0,benign
43,34,1,2,1,3,0,0,0,1,1,0,phishing
24,16,0,3,0,2,0,0,0,1,2,0,benign
38,31,0,2,2,2,4,0,0,0,1,0,phishing
21,13,0,2,0,2,0,0,0,1,1,0,benign
25,17,0,2,0,2,0,0,0,1,1,0,benign
33,25,0,3,0,2,0,0,0,1,2,0,benign
30,22,0,3,1,2,0,0,0,1,2,0,benign
48,41,0,2,0,2,21,0,0,0,1,0,benign
23,15,0,2,0,2,0,0,0,1,1,0,benign
24,17,0,2,0,2,0,0,0,0,1,0,phishing
27,19,0,3,0,2,0,0,0,1,2,0,benign
23,15,0,2,1,2,0,0,0,1,1,0,benign
77,25,45,4,0,7,2,0,0,0,2,1,phishing
22,14,0,2,0,2,0,0,0,1,1,0,benign
26,18,0,2,0,2,0,0,0,1,1,0,benign
28,20,0,2,0,2,0,0,0,1,1,0,benign
24,17,0,2,0,2,0,0,0,0,1,0,phishing
27,19,0,2,0,2,0,0,0,1,1,0,benign
98,26,7,1,1,4,6,5,0,1,0,0,phishing
27,19,0,2,0,2,0,0,0,1,1,0,benign
39,31,0,2,0,2,0,0,0,1,1,0,benign
40,32,0,2,0,2,0,0,0,1,1,0,benign
28,20,0,2,0,2,0,0,0,1,1,0,benign
20,12,0,2,0,2,0,0,0,1,1,0,benign
29,22,0,2,0,2,0,0,0,0,1,0,phishing
26,18,0,2,0,2,0,0,0,1,1,0,phishing
31,23,0,2,0,2,0,0,0,1,1,0,benign
32,24,0,2,2,2,0,0,0,1,1,0,benign
21,13,0,3,0,2,0,0,0,1,2,0,benign
31,23,0,2,0,2,0,0,0,1,1,0,benign
24,16,0,2,0,2,0,0,0,1,1,0,benign
30,22,0,3,0,2,0,0,0,1,2,0,benign
23,15,0,2,0,2,0,0,0,1,1,0,benign
32,24,0,2,1,2,0,0,0,1,1,0,benign
21,13,0,2,0,2,0,0,0,1,1,0,benign
25,17,0,2,0,2,0,0,0,1,1,0,benign
34,25,1,2,1,3,6,0,0,1,1,0,phishing
31,23,0,3,0,2,0,0,0,1,2,0,benign
34,26,0,2,0,2,0,0,0,1,1,0,benign
30,22,0,2,0,2,0,0,0,1,1,0,benign
25,17,0,2,1,2,0,0,0,1,1,0,benign
31,23,0,2,0,2,0,0,0,1,1,0,benign
26,18,0,3,0,2,1,0,0,1,2,0,benign
28,20,0,2,0,2,0,0,0,1,1,0,benign
32,23,1,2,1,3,0,0,0,1,1,0,phishing
33,25,0,2,0,2,0,0,0,1,1,0,benign
25,17,0,3,0,2,0,0,0,1,2,0,benign
26,18,0,2,0,2,0,0,0,1,1,0,benign
26,18,0,3,0,2,0,0,0,1,2,0,benign
32,25,0,3,1,2,0,0,0,0,2,0,phishing
28,20,0,3,0,2,0,0,0,1,2,0,benign
25,17,0,3,0,2,0,0,0,1,2,0,benign
24,16,0,2,0,2,0,0,0,1,1,0,benign
28,20,0,2,0,2,0,0,0,1,1,0,benign
24,16,0,2,1,2,0,0,0,1,1,0,benign
30,22,0,3,1,2,0,0,0,1,2,0,benign
28,20,0,2,0,2,0,0,0,1,1,0,benign
31,23,0,2,0,2,0,0,0,1,1,0,benign
28,20,0,2,0,2,0,0,0,1,1,0,benign
36,28,0,2,1,2,0,0,0,1,1,0,benign
21,13,0,2,0,2,0,0,0,1,1,0,benign
29,21,0,2,0,2,0,0,0,1,1,0,benign
42,33,1,2,0,3,0,0,0,1,1,0,phishing
74,29,7,1,2,4,2,4,0,1,0,0,phishing
25,17,0,2,0,2,0,0,0,1,1,0,benign
25,17,0,2,0,2,0,0,0,1,1,0,benign
24,16,0,2,0,2,0,0,0,1,1,0,benign
28,21,0,3,0,2,0,0,0,0,2,0,phishing
29,21,0,2,0,2,0,0,0,1,1,0,benign
25,17,0,2,0,2,0,0,0,1,1,0,benign
31,23,0,2,1,2,0,0,0,1,1,0,benign
38,30,0,2,0,2,0,0,0,1,1,0,benign
24,16,0,2,0,2,0,0,0,1,1,0,benign
27,19,0,2,0,2,0,0,0,1,1,0,benign
20,12,0,2,0,2,0,0,0,1,1,0,benign
30,22,0,2,0,2,0,0,0,1,1,0,benign
28,20,0,2,0,2,0,0,0,1,1,0,benign
37,29,0,2,0,2,0,0,0,1,1,0,benign
24,17,0,3,0,2,0,0,0,0,2,0,phishing
19,11,0,2,0,2,0,0,0,1,1,0,benign
21,13,0,2,0,2,0,0,0,1,1,0,benign
20,12,0,2,0,2,0,0,0,1,1,0,benign
24,16,0,2,0,2,0,0,0,1,1,0,benign
20,13,0,2,0,2,0,0,0,0,1,0,phishing
21,14,0,2,0,2,0,0,0,0,1,0,phishing
33,26,0,3,0,2,0,0,0,0,2,0,phishing
31,23,0,3,0,2,0,0,0,1,2,0,benign
24,16,0,2,0,2,0,0,0,1,1,0,benign
22,15,0,2,0,2,0,0,0,0,1,0,benign
21,13,0,3,0,2,0,0,0,1,2,0,phishing
27,19,0,3,0,2,0,0,0,1,2,0,benign
30,22,0,2,0,2,0,0,0,1,1,0,benign
25,17,0,2,0,2,1,0,0,1,1,0,benign
25,18,0,2,0,2,0,0,0,0,1,0,phishing
31,22,1,2,0,3,1,0,0,1,1,0,phishing
27,20,0,3,0,2,7,0,0,0,2,0,phishing
47,21,18,2,1,5,0,0,0,1,1,0,phishing
47,24,15,2,1,4,1,0,0,1,1,0,phishing
25,18,0,2,0,2,0,0,0,0,1,0,phishing
24,16,0,2,0,2,0,0,0,1,1,0,benign
29,18,1,2,0,4,0,0,0,1,1,0,phishing
29,21,0,2,0,2,0,0,0,1,1,0,benign
26,18,0,2,0,2,0,0,0,1,1,0,benign
29,22,0,3,0,2,1,0,0,0,2,0,benign
24,16,0,2,0,2,0,0,0,1,1,0,benign
24,16,0,2,0,2,0,0,0,1,1,0,benign
28,20,0,2,0,2,0,0,0,1,1,0,benign
